idx,sign_new,sign_del,sign_mut,lane_new,lane_del,lane_mut,pole_new,pole_del,pole_mut,dlnt_new,dlnt_del,dlnt_mut,brer_new,brer_del,brer_mut,lat,lon,alt,heading,qx,qy,qz,qw,image_name,iter_duration
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699172708929,2.02984415887,43.8361313073,-0.366227033996,0.0072662343587,-0.00857280368073,-0.182019579781,0.983230685776,./2010231204343010282-1-114931279.JPG,61
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699172996271,2.02984399686,43.8105947161,-0.369137017403,0.00725989215982,-0.00855760543433,-0.183450228739,0.982964940845,./2010231204343010282-1-114931384.JPG,150
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699173283481,2.02984383191,43.7855117684,-0.37128641481,0.00722950897876,-0.00854030191284,-0.184506935957,0.982767514739,./2010231204343010282-1-114931489.JPG,87
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699173569813,2.02984366381,43.7603085758,-0.371623376337,0.00722246947115,-0.00853692489989,-0.18467259925,0.982736479395,./2010231204343010282-1-114931594.JPG,56
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699173847478,2.02984350281,43.7356945658,-0.373579873861,0.00722702968578,-0.00852881246909,-0.185633957487,0.982555374128,./2010231204343010282-1-114931699.JPG,55
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699174129696,2.02984332533,43.7101699002,-0.368286446508,0.00730058505637,-0.00857058663677,-0.183031745296,0.983042535558,./2010231204343010282-1-114931804.JPG,52
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69917442249,2.02984317658,43.6828604843,-0.375531807662,0.00734033520692,-0.00854597261372,-0.186591900106,0.982372917301,./2010231204343010282-1-114931909.JPG,53
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699174705198,2.02984300075,43.6582779679,-0.370892387609,0.00733287638938,-0.00856573931466,-0.184312340938,0.982803041312,./2010231204343010282-1-114932014.JPG,57
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699174992208,2.02984283623,43.6331682149,-0.371194828585,0.00729712560251,-0.00855572728475,-0.184461311677,0.98277544535,./2010231204343010282-1-114932120.JPG,34
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699175278475,2.02984266941,43.6083746022,-0.370396727012,0.00724946354582,-0.00854801693797,-0.184069510226,0.982849323187,./2010231204343010282-1-114932224.JPG,270
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699175568411,2.02984250306,43.5827176459,-0.37118049294,0.00723850471003,-0.00854163724625,-0.184454811875,0.982777221378,./2010231204343010282-1-114932328.JPG,56
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69917585627,2.02984233718,43.5574154379,-0.37217493312,0.00721845822125,-0.00853215706245,-0.184943696568,0.982685567848,./2010231204343010282-1-114932432.JPG,66
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699176142604,2.02984216887,43.5320349503,-0.369796141961,0.00721541827103,-0.00854225869885,-0.183774641196,0.982904801498,./2010231204343010282-1-114932536.JPG,55
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6991764321,2.02984200978,43.505809905,-0.373929473692,0.00723520416277,-0.00852767471226,-0.185805668966,0.982522866892,./2010231204343010282-1-114932640.JPG,58
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699176718323,2.02984183772,43.4799642935,-0.370510631843,0.00728085146364,-0.00855410434209,-0.18412521159,0.982838604735,./2010231204343010282-1-114932744.JPG,55
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699177006199,2.02984167228,43.4544141162,-0.370675516406,0.00727472656137,-0.00855172979158,-0.184206307703,0.982823474726,./2010231204343010282-1-114932848.JPG,55
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699177275283,2.02984151321,43.4301141249,-0.36903387647,0.00731305045214,-0.00856829945707,-0.183399063397,0.982974001224,./2010231204343010282-1-114932952.JPG,68
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699177563865,2.02984135356,43.4031923488,-0.372578513962,0.00739463846333,-0.00857079303532,-0.185140399531,0.982646881281,./2010231204343010282-1-114933065.JPG,58
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699177849873,2.02984118366,43.3765997635,-0.370709634724,0.00748122946314,-0.0085998879784,-0.184221164685,0.982818719609,./2010231204343010282-1-114933168.JPG,41
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699178134397,2.0298410137,43.3506151997,-0.368150771399,0.0075503382165,-0.00862832773936,-0.182962742498,0.983052989015,./2010231204343010282-1-114933271.JPG,382
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699178706891,2.02984068153,43.2966536274,-0.367986789306,0.00780227290704,-0.00868867822784,-0.182879761316,0.983065930805,./2010231204343010282-1-114933477.JPG,56
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699178997929,2.02984051183,43.270269284,-0.365200663973,0.00786356285872,-0.00871692932692,-0.181509321112,0.983319147516,./2010231204343010282-1-114933580.JPG,58
